accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,lr,train_time,params
0.9045,0.8752501349529848,0.8609607297173324,0.867598029992271,0.9039536578314822,0.0001,71.87390470504761,1208198
0.891,0.854461619091713,0.861522153063954,0.8562984221700779,0.8913038204499935,0.0005,36.3795850276947,1208198
0.8985,0.8634551979028723,0.854993141670961,0.8585343692647407,0.898067203677476,0.001,54.749271869659424,1208198
0.8715,0.833831001949401,0.8232136169961657,0.826461897567209,0.8706149116003492,0.005,32.965067863464355,1208198
0.885,0.8543445861840494,0.8384056270250694,0.8457741317639248,0.8844234112219718,0.01,84.60097241401672,1208198
