accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,dropout,train_time,params,val_accuracy,best_epoch
0.8965,0.8671653930905099,0.8415468049689868,0.8490106513626912,0.8955865176419869,0.0,44.286468505859375,1208198,0.8950524737631185,16
0.887,0.850351902640795,0.8389558561065488,0.8400777762325008,0.8853969919861121,0.2,21.992313385009766,1208198,0.889055472263868,8
0.8985,0.8634551979028723,0.854993141670961,0.8585343692647407,0.898067203677476,0.4,50.191240549087524,1208198,0.8910544727636182,18
0.895,0.8485444712281772,0.8524046410662515,0.849497670614018,0.894951192412723,0.6,38.799649715423584,1208198,0.8895552223888056,14
0.8905,0.8460825341323255,0.8593080496401025,0.8516866269187277,0.8909093789284572,0.8,72.45783162117004,1208198,0.894552723638181,24
