accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,pooling,train_time,params
0.338,0.05633333333333334,0.16666666666666666,0.08420528151469857,0.1707683109118087,last,45.7996027469635,1131398
0.9245,0.9061352117658162,0.8696346998417214,0.8852742397256931,0.9230818640008691,mean,155.74425959587097,1131398
0.934,0.8874400861075342,0.915990408836645,0.8997691890127428,0.9349052020811621,max,132.4808464050293,1131398
